Building IRN,Building Name,District IRN,District Name,County,Region,Address,"City, State, Zip Code",Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark
034553,Walter G. Nord Middle School,045195,Amherst Exempted Village,Lorain,Region 2,501 Lincoln St,"Amherst, OH, 44001-1569",(440) 988-4441,Jill L. Jiovanazzo,100.416,83.7,B,0.0,5.9,10.9,23.9,29.9,29.4,0.0,117.560,98.0,0.0,0.0,0.0,3.8,16.7,79.4,0.0,96.028,91.510,
034561,Sidney High School,044784,Sidney City,Shelby,Region 6,1215 Campbell Rd,"Sidney, OH, 45365-2507",(937) 497-2238,Jon D. Geuy,67.561,56.3,D,2.3,30.4,27.2,24.9,9.7,5.3,0.1,107.755,89.8,0.0,2.0,4.1,26.5,28.6,36.7,2.0,67.189,94.692,
034579,Sidney Fenn Elementary School,044388,Medina City SD,Medina,Region 8,320 N Spring Grove St,"Medina, OH, 44256-1969",(330) 636-4100,Craig T. Komar,102.116,85.1,B,0.0,6.3,8.3,22.1,29.3,33.2,0.8,118.000,98.3,0.0,0.0,0.0,5.3,14.7,74.7,5.3,103.441,101.619,
034587,Siebert Elementary School,043802,Columbus City,Franklin,Region 11,385 Reinhard Ave,"Columbus, OH, 43206-2701",(614) 365-6613,Debra S. Archie-Wilkerson,59.192,49.3,F,0.0,45.3,25.9,18.7,8.3,1.6,0.2,105.000,87.5,0.0,0.0,12.5,18.8,43.8,18.8,6.3,61.034,69.787,
034603,Silver Lake Elementary School,043836,Cuyahoga Falls City,Summit,Region 8,2970 Overlook Rd,"Silver Lake, OH, 44224-3042",(330) 926-3811,Rachael L. Seifert,101.060,84.2,B,0.0,8.5,8.1,18.7,26.9,37.8,0.0,118.378,98.6,0.0,0.0,0.0,2.7,10.8,86.5,0.0,97.089,97.301,
034611,Rutherford B. Hayes Elementary School,044339,Marion City,Marion,Region 7,750 Silver St,"Marion, OH, 43302-2856",(740) 223-4950,William R. Glenn,71.136,59.3,D,0.7,31.9,22.7,21.6,13.9,8.8,0.4,NC,NC,6.3,0.0,12.5,25.0,25.0,25.0,6.3,64.455,66.638,
034629,Silverton Paideia Elementary School,043752,Cincinnati City,Hamilton,Region 13,7451 Montgomery Rd,"Cincinnati, OH, 45236-4160",(513) 363-5400,Leniese M. Fuqua,68.122,56.8,D,0.0,30.8,30.9,22.8,10.7,4.8,0.0,NC,NC,0.0,0.0,0.0,0.0,60.0,40.0,0.0,67.279,77.155,
034678,Skyvue Elementary School,048652,Switzerland of Ohio Local,Monroe,Region 12,33329 Hartshorn Ridge Rd,"Graysville, OH, 45734-9797",(740) 567-3312,Christopher J. Caldwell,86.936,72.4,C,0.0,15.6,18.1,29.2,23.4,13.4,0.3,102.478,85.4,0.0,2.7,13.3,23.0,26.5,33.6,0.9,78.597,88.772,
034694,Smith Elementary School,044586,Oakwood City,Montgomery,Region 10,1701 Shafor Blvd,"Dayton, OH, 45419-2511",(937) 297-5335,Lynn M. Cowell,107.705,89.8,B,0.0,2.0,6.7,16.8,31.3,43.1,0.1,117.083,97.6,0.0,0.0,0.8,3.8,17.4,77.7,0.4,107.158,104.843,
034710,Grindstone Elementary School,043612,Berea City,Cuyahoga,Region 3,191 Race St,"Berea, OH, 44017-2318",(216) 898-8305,Theresa A. Grimm,92.761,77.3,C,0.0,13.2,12.7,24.7,28.1,20.7,0.5,116.129,96.8,0.0,0.0,0.0,5.4,32.3,58.1,4.3,91.910,94.889,
034736,Chillicothe Middle School,043745,Chillicothe City,Ross,Region 15,381 Yoctangee Pkwy,"Chillicothe, OH, 45601-1658",(740) 773-2241,Matthew E. Ballentine,76.429,63.7,D,0.6,26.0,21.8,22.9,18.6,10.2,0.0,112.000,93.3,0.0,0.0,4.6,4.6,43.1,47.7,0.0,72.771,89.744,
034793,Smithville High School,050559,Green Local,Wayne,Region 9,200 Smithie Drive,"Smithville, OH, 44677",(330) 669-3165,Nathan C. Gaubatz,89.053,74.2,C,0.0,8.1,23.5,38.9,17.9,11.6,0.0,111.765,93.1,0.0,0.0,0.0,25.5,31.4,43.1,0.0,82.669,99.041,
034801,Snowhill Elementary School,044818,Springfield City School District,Clark,Region 10,531 W Harding Rd,"Springfield, OH, 45504-1708",(937) 505-4410,Rita A. Lane,90.458,75.4,C,0.0,15.5,14.7,23.3,21.5,25.0,0.0,117.215,97.7,0.0,0.0,1.3,3.8,12.7,82.3,0.0,91.756,93.614,Third Grade Reading Guarantee data may be incomplete due to local reporting error. Contact district for more information.
034827,Snyder Park Elementary School,044818,Springfield City School District,Clark,Region 10,1600 Maiden Ln,"Springfield, OH, 45504-2907",(937) 505-4430,Cheryl A. Farnbaugh,72.054,60.0,D,0.5,29.1,24.6,25.4,12.5,7.9,0.0,NC,NC,0.0,0.0,11.1,22.2,0.0,66.7,0.0,70.086,74.753,Third Grade Reading Guarantee data may be incomplete due to local reporting error. Contact district for more information.
034835,Solon High School,046607,Solon City,Cuyahoga,Region 3,33600 Inwood Dr,"Solon, OH, 44139-4132",(440) 349-6230,Erin A. Short,107.900,89.9,B,0.2,1.5,5.5,24.7,27.5,37.0,3.7,119.302,99.4,0.0,0.0,0.0,0.0,7.0,93.0,0.0,107.630,113.701,
034850,O H Somers Elementary School,050039,Mogadore Local,Summit,Region 8,3600 Herbert St,"Mogadore, OH, 44260-1125",(330) 628-9947,John A. Knapp,93.645,78.0,C,0.0,8.8,15.9,32.2,25.9,15.4,1.7,121.951,101.6,0.0,0.0,0.0,0.0,12.2,56.1,31.7,90.490,92.956,
034868,Somerset Elementary School,049056,Northern Local,Perry,Region 12,100 High St,"Somerset, OH, 43783-9707",(740) 743-1454,Edmund J. Wolfel,94.208,78.5,C,0.7,9.2,13.5,29.6,26.5,20.6,0.0,114.688,95.6,0.0,0.0,0.0,9.4,34.4,56.3,0.0,95.250,95.990,
034892,JC Sommer Elementary School,044800,South-Western City,Franklin,Region 11,3055 Kingston Ave,"Grove City, OH, 43123-3304",(614) 801-8350,Susan E. Clay-McLaughlin,96.981,80.8,B,0.0,8.4,13.6,23.7,25.9,28.5,0.0,117.778,98.1,0.0,0.0,0.0,3.2,15.9,81.0,0.0,86.258,93.641,
034918,South Central High School,047738,South Central Local,Huron,Region 2,3305 Greenwich Angling Rd,"Greenwich, OH, 44837-9443",(419) 752-3354,Paul W. Hinkle,87.708,73.1,C,0.0,9.9,21.9,42.7,17.2,8.3,0.0,NC,NC,0.0,0.0,0.0,11.1,55.6,33.3,0.0,77.913,95.480,
034934,South Elementary School,043893,Dover City,Tuscarawas,Region 12,280 E Shafer Ave,"Dover, OH, 44622-2160",(330) 364-7111,Tracie R. Murphy,89.297,74.4,C,0.0,15.8,14.9,25.3,24.4,19.6,0.0,116.154,96.8,0.0,0.0,0.0,7.7,23.1,69.2,0.0,87.429,91.743,
034959,South Elementary School,044487,New Philadelphia City,Tuscarawas,Region 12,132 Providence Ave SW,"New Philadelphia, OH, 44663-9566",(330) 364-0725,Jacklyn M. Triplett,103.000,85.8,B,0.0,6.0,8.8,19.1,25.4,40.7,0.0,117.759,98.1,0.0,0.0,0.0,5.2,12.1,82.8,0.0,95.249,91.147,
035022,South Elementary School,044941,Urbana City,Champaign,Region 6,725 S Main St,"Urbana, OH, 43078-2431",(937) 653-1449,Cheryl A. Carter,78.108,65.1,D,0.0,31.1,12.2,24.3,17.6,14.9,0.0,NC,NC,0.0,0.0,0.0,0.0,0.0,100.0,0.0,77.507,89.063,
035048,Miller-South Visual Performing Arts,043489,Akron City,Summit,Region 8,1055 East Ave,"Akron, OH, 44307-1441",(330) 761-1765,Dawn E. Wilson,89.417,74.5,C,3.1,11.4,15.2,25.2,25.4,18.6,1.1,109.213,91.0,2.6,1.2,2.9,11.1,30.0,48.4,3.8,96.320,102.278,
035063,South High School,043802,Columbus City,Franklin,Region 11,1160 Ann St,"Columbus, OH, 43206-2876",(614) 365-5541,Edmund G. Baker,52.053,43.4,F,7.4,48.1,19.5,17.6,5.9,1.5,0.0,103.636,86.4,0.0,9.1,0.0,27.3,27.3,36.4,0.0,48.519,67.792,
035089,South High School,045104,Willoughby-Eastlake City,Lake,Region 4,5000 Shankland Rd,"Willoughby, OH, 44094-5637",(440) 975-3647,Zachary C. Weagley,88.935,74.1,C,0.1,8.6,20.9,43.7,19.2,7.5,0.0,108.158,90.1,0.0,1.3,2.6,27.6,35.5,32.9,0.0,80.915,94.846,
035097,Lima South Science-Technology Magnet K-8,044222,Lima City,Allen,Region 6,755 Saint Johns Ave,"Lima, OH, 45804-1552",(419) 996-3190,Chad W. Fallis,92.492,77.1,C,0.0,12.3,15.7,23.1,25.5,21.8,1.5,116.481,97.1,0.0,0.0,0.0,7.4,27.8,57.4,7.4,77.971,79.679,
035105,Mt Healthy Junior High School,044412,Mt Healthy City,Hamilton,Region 13,8101 Hamilton Ave,"Cincinnati, OH, 45231-2323",(513) 729-0130,Milton V. Folson,56.915,47.4,F,0.0,48.4,25.7,17.5,6.4,2.1,0.0,103.810,86.5,0.0,0.0,9.5,38.1,28.6,23.8,0.0,59.199,69.039,
035139,Vermilion Elementary School,046821,Vermilion Local,Erie,Region 2,1285 Douglas St,"Vermilion, OH, 44089-1209",(440) 204-1703,Bonnie Meyer,100.926,84.1,B,0.0,5.2,12.6,22.6,23.3,36.3,0.0,NC,NC,0.0,0.0,0.0,0.0,0.0,100.0,0.0,97.683,101.709,
035147,Southdale Elementary School,044180,Kettering City School District,Montgomery,Region 10,1200 W Dorothy Ln,"Kettering, OH, 45409-1307",(937) 499-1890,Joseph T. Borchers,100.123,83.4,B,0.0,7.5,10.0,22.8,26.2,32.5,1.0,118.584,98.8,0.0,0.0,0.9,2.7,9.7,80.5,6.2,95.396,94.922,
035154,Crestline Elementary School,045344,Crestline Exempted Village,Crawford,Region 7,435 Oldfield Rd,"Crestline, OH, 44827-9404",(419) 683-3647,Melisa M. Stone-Watters,87.755,73.1,C,0.0,15.2,18.4,27.4,21.6,16.9,0.6,115.357,96.1,0.0,0.0,3.6,7.1,17.9,64.3,7.1,75.413,72.597,
035170,Southeast High School,049221,Southeast Local,Portage,Region 8,8423 Tallmadge Rd,"Ravenna, OH, 44266-9242",(330) 654-5841,David H. Kennedy,82.567,68.8,D,0.0,17.9,21.9,32.4,18.3,8.9,0.7,110.750,92.3,0.0,2.5,0.0,15.0,42.5,37.5,2.5,79.283,98.262,
035188,Bellefontaine Elementary School,043588,Bellefontaine City,Logan,Region 6,1001 Ludlow Rd,"Bellefontaine, OH, 43311-2515",(937) 599-4331,Patricia L. Martz,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
035196,Southeastern Sr. High School,046276,Southeastern Local,Clark,Region 10,PO Box Z,"South Charleston, OH, 45368-0826",(937) 462-8308,Philip J. Bertemes,85.692,71.4,C,0.0,10.8,25.6,36.9,18.5,8.2,0.0,NC,NC,0.0,0.0,0.0,10.0,40.0,50.0,0.0,82.888,96.776,
035204,Southeastern High School,049528,Southeastern Local,Ross,Region 15,2003 Lancaster Rd,"Chillicothe, OH, 45601-9092",(740) 774-2003,Leonard H. Steyer,73.344,61.1,D,1.0,24.8,24.2,37.4,11.3,1.3,0.0,NC,NC,0.0,0.0,25.0,50.0,25.0,0.0,0.0,70.531,93.668,
035220,Southern High School,048538,Southern Local,Meigs,Region 16,920 Elm St,"Racine, OH, 45771-8902",(740) 949-2611,Daniel J. Otto,78.477,65.4,D,0.0,21.0,24.7,31.3,15.6,7.4,0.0,NC,NC,0.0,0.0,33.3,50.0,16.7,0.0,0.0,65.486,86.545,
035238,Southington Elementary School,050237,Southington Local,Trumbull,Region 5,2482 State Route 534,"Southington, OH, 44470-9524",(330) 898-7480,,95.552,79.6,C,0.0,9.7,13.1,25.2,28.6,23.4,0.0,116.809,97.3,0.0,0.0,0.0,4.3,23.4,72.3,0.0,90.526,97.871,
035279,Southwood Elementary School,043802,Columbus City,Franklin,Region 11,1500 S 4th St,"Columbus, OH, 43207-1040",(614) 365-5553,Danita C. Turner,61.573,51.3,D,0.4,43.1,23.5,19.8,10.6,2.6,0.0,NC,NC,0.0,0.0,0.0,50.0,16.7,33.3,0.0,52.662,62.049,
035295,Highland Middle School,048801,Highland Local,Morrow,Region 7,6506 State Route 229,"Marengo, OH, 43334-9738",(419) 768-2781,Matthew A. Bradley,85.690,71.4,C,0.0,17.4,18.3,26.4,26.4,9.9,1.8,115.895,96.6,0.0,0.0,1.1,7.4,35.8,40.0,15.8,85.648,91.644,
035311,Black River Education Center Middle School,048462,Black River Local,Medina,Region 7,257 County Road 40,"Sullivan, OH, 44880-9731",(419) 736-3304,Tammy S. Starkey,84.406,70.3,C,0.0,16.6,20.7,31.3,20.3,10.2,0.9,112.037,93.4,0.0,0.0,3.7,14.8,37.0,35.2,9.3,81.715,84.886,
035337,Spencerville Elementary School,045807,Spencerville Local,Allen,Region 6,2500 Wisher Dr,"Spencerville, OH, 45887-1293",(419) 647-4113,Susan M. Wagner,104.432,87.0,B,0.0,2.0,9.4,23.0,35.5,30.1,0.0,119.143,99.3,0.0,0.0,0.0,0.0,8.6,91.4,0.0,97.729,101.421,
035345,Spencerville High School,045807,Spencerville Local,Allen,Region 6,2500 Wisher Dr,"Spencerville, OH, 45887-1293",(419) 647-4111,Scott R. Gephart,85.617,71.3,C,0.0,16.3,18.6,33.3,20.5,9.7,1.6,118.500,98.8,0.0,0.0,0.0,5.0,25.0,50.0,20.0,88.339,101.258,
035352,Spring Elementary School,044909,Toledo City,Lucas,Region 1,730 Spring St,"Toledo, OH, 43608-2554",(419) 671-6600,Victoria K. Dipman,45.680,38.1,F,1.1,68.3,15.5,9.6,4.0,1.6,0.0,NC,NC,0.0,0.0,100.0,0.0,0.0,0.0,0.0,39.580,49.491,Educator and principal data may be incomplete due to local reporting error. Contact district for more information.
035402,Elyria Early Childhood Center,043943,Elyria City Schools,Lorain,Region 2,42101 Griswold Rd,"Elyria, OH, 44035-2117",(440) 284-8250,Jacqueline Plantner,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
035428,Springcreek Primary Elementary School,044644,Piqua City,Miami,Region 10,145 E Us Route 36,"Piqua, OH, 45356-8201",(937) 773-6540,Connie L. Strehle,85.127,70.9,C,0.0,20.3,14.8,28.0,21.6,14.4,0.8,118.000,98.3,0.0,0.0,0.0,6.7,20.0,60.0,13.3,81.634,83.172,
035436,Springdale Elementary School,044677,Princeton City,Hamilton,Region 13,350 W Kemper Rd,"Cincinnati, OH, 45246-3024",(513) 864-2700,Lisa D. Tenbarge,93.728,78.1,C,0.2,10.6,15.1,23.7,27.8,22.8,0.0,116.000,96.7,1.5,0.0,0.0,0.0,21.5,76.9,0.0,88.069,94.680,
035451,Springfield Intermediate Middle School,048371,Springfield Local,Mahoning,Region 5,11333 Youngstown Pittsburgh Rd,"New Middletown, OH, 44442-8724",(330) 542-3624,David J. Malone,96.040,80.0,B,0.1,6.6,14.6,31.3,28.8,18.0,0.6,120.000,100.0,0.0,0.0,0.0,0.0,5.3,89.5,5.3,94.693,98.883,
035469,Springfield High School,048371,Springfield Local,Mahoning,Region 5,11335 Youngstown Pittsburgh Rd,"New Middletown, OH, 44442-8724",(330) 542-3626,Anthony J. DeFelice,92.465,77.1,C,0.0,5.9,20.8,36.1,25.0,12.2,0.0,113.077,94.2,0.0,0.0,0.0,7.7,53.8,38.5,0.0,88.721,103.622,
035477,Springfield High School,048223,Springfield Local,Lucas,Region 1,1470 S Mccord Rd,"Holland, OH, 43528-9382",(419) 867-5633,Rhonda A. Kimmons,81.503,67.9,D,0.1,15.7,27.2,34.9,11.8,8.4,2.0,111.282,92.7,0.0,0.0,9.0,16.7,17.9,38.5,17.9,78.365,96.617,
035485,Springfield Junior/Senior High School,050062,Springfield Local,Summit,Region 8,1880 Canton Road,"Akron, OH, 44312-4467",(330) 798-1002,Shaun M. Morgan,81.053,67.5,D,0.3,19.3,21.9,31.3,18.2,8.3,0.6,113.511,94.6,0.0,1.1,2.1,5.3,39.4,44.7,7.4,74.692,85.040,
035493,Edison Jr. High School,047795,Edison Local,Jefferson,Region 12,9890 State Route 152,"Richmond, OH, 43944-7826",(740) 765-4313,Matthew W. Morrison,77.297,64.4,D,0.8,24.8,19.7,28.9,18.1,7.6,0.0,110.000,91.7,0.0,0.0,4.5,20.5,31.8,43.2,0.0,70.832,75.521,
035501,Springfield Middle School,048223,Springfield Local,Lucas,Region 1,6900 Hall St,"Holland, OH, 43528-9485",(419) 867-5641,Jeffrey H. Pendry,87.921,73.3,C,0.1,14.0,18.9,28.6,23.9,13.0,1.4,116.832,97.4,0.0,0.0,1.2,7.5,24.8,50.9,15.5,85.406,88.071,
035527,Springfield High School,044818,Springfield City School District,Clark,Region 10,701 E Home Rd,"Springfield, OH, 45503-2714",,Vacant Position,57.532,47.9,F,1.9,43.7,27.9,17.7,5.8,3.0,0.0,104.667,87.2,0.0,0.0,10.0,33.3,26.7,30.0,0.0,56.131,82.255,
035568,Spruce Elementary School,044529,North Olmsted City,Cuyahoga,Region 3,28590 Windsor Dr,"North Olmsted, OH, 44070-4136",(440) 779-3540,Denise A. Ressler,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.224,100.469,
035584,St Bernard-Elmwood Place High School,044719,St Bernard-Elmwood Place City,Hamilton,Region 13,4615 Tower Ave,"Saint Bernard, OH, 45217-1724",(513) 482-7100,Robert A. Reynolds,70.229,58.5,D,0.0,27.9,29.9,27.8,11.3,3.1,0.0,NC,NC,0.0,0.0,0.0,27.3,54.5,18.2,0.0,63.410,79.491,
035618,St Clairsville Middle School,045997,St Clairsville-Richland City,Belmont,Region 12,104 Woodrow Ave,"Saint Clairsville, OH, 43950-1567",(740) 659-1591,Michael M. Mckeever,86.385,72.0,C,0.0,16.0,18.7,27.5,24.8,12.8,0.2,106.019,88.3,0.0,4.9,6.8,15.5,25.2,46.6,1.0,83.649,95.754,
035626,St Clairsville High School,045997,St Clairsville-Richland City,Belmont,Region 12,102 Woodrow Ave,"Saint Clairsville, OH, 43950-1567",(740) 695-1584,Walter E. Skaggs,80.348,67.0,D,0.0,21.4,20.5,32.5,16.2,9.0,0.3,99.891,83.2,0.0,5.4,10.9,27.2,33.7,21.7,1.1,79.474,98.471,
035634,St Henry Elementary School,048587,St Henry Consolidated Local,Mercer,Region 6,251 E Columbus St,"Saint Henry, OH, 45883-9575",(419) 678-4834,Adam Puthoff,109.380,91.2,A,0.0,3.0,5.1,11.9,25.1,55.0,0.0,118.980,99.1,0.0,0.0,0.0,0.0,10.2,89.8,0.0,106.838,102.408,
035642,St Henry Middle School,048587,St Henry Consolidated Local,Mercer,Region 6,381 E Columbus St,"Saint Henry, OH, 45883-9574",(419) 678-4834,Kyle D. Kunk,105.982,88.3,B,0.0,3.8,7.2,17.5,29.1,41.1,1.3,119.478,99.6,0.0,0.0,0.0,0.0,12.7,79.9,7.5,103.114,98.631,
035659,St Henry High School,048587,St Henry Consolidated Local,Mercer,Region 6,391 E Columbus St,"Saint Henry, OH, 45883-9574",(419) 678-4834,Eric M. Rosenbeck,100.888,84.1,B,0.0,3.9,12.0,33.6,21.2,25.5,3.9,116.216,96.8,0.0,2.7,2.7,2.7,13.5,56.8,21.6,91.875,101.076,
035675,Graham Middle School,046193,Graham Local,Champaign,Region 6,9644 Us Highway 36,"Saint Paris, OH, 43072-9367",(937) 663-5339,Jacob H. Conley,79.711,66.4,D,0.0,22.0,21.8,27.1,19.6,9.4,0.0,115.085,95.9,0.0,0.0,0.0,11.9,25.4,62.7,0.0,75.568,73.230,
035691,Stadium Drive Elementary School,048306,Boardman Local,Mahoning,Region 5,111 Stadium Dr,"Youngstown, OH, 44512-5521",(330) 726-3428,Michael V. Zoccali,107.075,89.2,B,0.0,3.8,4.4,16.7,35.5,39.6,0.0,NC,NC,0.0,0.0,0.0,0.0,0.0,100.0,0.0,101.796,103.103,
035733,Stamm Elementary School,044016,Fremont City,Sandusky,Region 1,1038 Miller St,"Fremont, OH, 43420-2142",(419) 332-5538,Bridget L. Smith,80.296,66.9,D,0.2,21.8,21.6,24.2,20.5,11.5,0.2,NC,NC,0.0,0.0,0.0,11.1,11.1,66.7,11.1,82.118,86.596,
035774,Stanton Primary Elementary School,044461,New Boston Local,Scioto,Region 15,#1 Glenwood Tiger Trail,"New Boston, OH, 45662",(740) 456-4637,,95.441,79.5,C,0.0,10.3,10.3,30.9,29.4,19.1,0.0,NC,NC,0.0,0.0,0.0,0.0,33.3,66.7,0.0,86.364,95.571,
035790,Stanton Elementary School,047795,Edison Local,Jefferson,Region 12,14890 State Route 213,"Hammondsville, OH, 43930-7902",(330) 532-1594,Julie A. Kireta,88.761,74.0,C,0.5,13.6,18.2,24.8,25.7,17.3,0.0,117.250,97.7,0.0,0.0,0.0,5.0,17.5,77.5,0.0,89.679,80.757,
035832,Starr Elementary School,044602,Oregon City,Lucas,Region 1,3230 Starr Ave,"Oregon, OH, 43616-2356",(419) 693-0589,Tricia D. Soltesz,95.477,79.6,C,0.0,8.2,14.3,28.4,28.6,20.4,0.0,NC,NC,0.0,0.0,0.0,6.3,43.8,50.0,0.0,91.034,93.900,
035865,Start High School,044909,Toledo City,Lucas,Region 1,2010 Tremainsville Rd,"Toledo, OH, 43613-3947",(419) 671-3000,Edward T. Perozek,59.278,49.4,F,3.8,36.8,30.2,21.8,5.2,2.0,0.1,93.012,77.5,0.0,8.4,15.7,41.0,20.5,12.0,2.4,55.716,83.490,Educator and principal data may be incomplete due to local reporting error. Contact district for more information.
035873,Michigan Primary School,043513,Ashtabula Area City,Ashtabula,Region 5,2304 Wade Ave,"Ashtabula, OH, 44004-9435",(440) 992-1250,Janie Carey,69.824,58.2,D,0.6,31.2,25.9,21.8,15.3,5.3,0.0,NC,NC,0.0,0.0,0.0,0.0,37.5,62.5,0.0,64.740,81.917,
035956,Stebbins High School,048702,Mad River Local,Montgomery,Region 10,1900 Harshman Rd,"Dayton, OH, 45424-5022",(937) 237-4250,Bradley C. Holt,69.835,58.2,D,1.6,27.4,28.3,29.0,8.5,5.1,0.1,106.327,88.6,0.0,4.1,4.1,26.5,22.4,42.9,0.0,62.164,91.543,
035972,Stephen Bell Elementary School,047274,Bellbrook-Sugarcreek Local,Greene,Region 10,4122 N Linda Dr,"Bellbrook, OH, 45305-1320",(937) 848-7831,Ginger C. Keeton,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
036004,Norwayne Elementary School,050567,Norwayne Local,Wayne,Region 9,286 S. Main Street,"Creston, OH, 44217",(330) 435-6383,David C. Dreher,106.542,88.8,B,0.0,2.3,8.0,19.4,27.4,42.0,0.8,119.754,99.8,0.0,0.0,0.0,0.8,6.6,86.9,5.7,103.857,101.490,
036012,Sterling Morton Elementary School,045492,Mentor Exempted Village,Lake,Region 4,9292 Jordan Dr,"Mentor, OH, 44060-1010",(440) 257-5954,Jacqueline I. Sturm,99.722,83.1,B,0.0,7.5,10.8,21.4,27.5,32.8,0.0,117.895,98.2,0.0,0.0,0.0,5.3,10.5,84.2,0.0,97.796,96.022,
036020,Steubenville High School,044826,Steubenville City,Jefferson,Region 12,420 N 4th St,"Steubenville, OH, 43952-2022",(740) 282-9741,Ted D. Gorman,95.702,79.8,C,0.0,8.1,16.9,21.7,30.8,17.1,5.4,117.600,98.0,0.0,0.0,4.0,4.0,24.0,36.0,32.0,74.318,90.323,
036053,Stewart Alternative Elementary School,043802,Columbus City,Franklin,Region 11,40 Stewart Ave,"Columbus, OH, 43206-2548",(614) 365-5556,Ebone N. Johnson,73.791,61.5,D,0.5,29.5,20.1,26.2,17.3,6.4,0.0,111.667,93.1,0.0,0.0,8.3,0.0,33.3,58.3,0.0,70.000,76.620,
036061,Bogan Elementary,046151,Talawanda City,Butler,Region 13,5200 Hamilton Richmond Rd,"Oxford, OH, 45056-9433",(513) 273-3400,Jeffrey F. Winslow,96.439,80.4,B,0.0,8.7,12.7,26.1,28.8,23.7,0.0,117.500,97.9,0.0,0.0,0.0,1.3,22.4,76.3,0.0,95.857,96.086,
036087,Stewart Elementary School,044677,Princeton City,Hamilton,Region 13,11850 Conrey Rd,"Cincinnati, OH, 45249-1012",(513) 864-2800,Kathleen A. McFadden,79.281,66.1,D,0.0,26.6,16.8,25.8,15.4,14.9,0.5,120.000,100.0,0.0,0.0,0.0,0.0,7.9,84.2,7.9,74.130,86.099,
036095,Southern Local Jr/Sr High School,046441,Southern Local,Columbiana,Region 5,38095 State Route 39,"Salineville, OH, 43945-9726",(330) 679-2305,Dallas J. Saunders,78.108,65.1,D,0.2,22.3,23.4,29.5,17.1,7.6,0.0,105.000,87.5,0.0,3.7,5.6,24.1,35.2,31.5,0.0,73.976,85.847,
036129,Stiles Elementary School,044800,South-Western City,Franklin,Region 11,4700 Stiles Ave,"Columbus, OH, 43228-1954",(614) 801-8375,Jessica D. Cahill,70.573,58.8,D,0.3,31.4,23.3,28.0,11.8,5.2,0.0,112.000,93.3,0.0,0.0,6.7,0.0,40.0,53.3,0.0,66.591,73.468,
036145,Stingley Elementary School,043737,Centerville City,Montgomery,Region 10,95 Linden Dr,"Centerville, OH, 45459-4530",(937) 434-1054,Diana L. Keller,98.604,82.2,B,0.0,6.3,14.1,21.4,29.4,28.7,0.0,117.411,97.8,0.0,0.0,0.0,1.8,22.3,75.9,0.0,99.080,103.282,
036152,Stivers School For The Arts,043844,Dayton City,Montgomery,Region 10,1313 E 5th St,"Dayton, OH, 45402-2222",(937) 542-7380,Erin E. Dooley,81.374,67.8,D,0.6,18.2,22.2,33.1,17.2,8.1,0.7,110.250,91.9,0.0,2.5,5.0,11.7,29.2,44.2,7.5,79.067,95.626,
036194,Belle Stone Elementary School,043711,Canton City,Stark,Region 9,2100 Rowland Ave NE,"Canton, OH, 44714-2148",(330) 452-6521,Charla M. Malone,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
036210,Stow-Munroe Falls High School,044834,Stow-Munroe Falls City School District,Summit,Region 8,3227 Graham Rd,"Stow, OH, 44224-3644",(330) 689-5300,Jeffrey D. Hartmann,87.066,72.6,C,0.0,11.8,20.7,39.3,20.4,7.8,0.0,110.500,92.1,0.0,0.0,3.3,17.5,40.0,39.2,0.0,81.910,102.981,
036236,Strasburg-Franklin Elementary School,050294,Strasburg-Franklin Local,Tuscarawas,Region 12,140 N Bodmer Ave,"Strasburg, OH, 44680-1122",(330) 878-6503,,87.615,73.0,C,0.0,13.2,19.8,33.3,19.3,14.4,0.0,117.857,98.2,0.0,0.0,0.0,3.6,14.3,82.1,0.0,82.928,89.255,
036244,Strasburg-Franklin High School,050294,Strasburg-Franklin Local,Tuscarawas,Region 12,140 N Bodmer Ave,"Strasburg, OH, 44680-1122",(330) 878-5571,Robert D. Hartline,85.902,71.6,C,0.2,14.3,20.0,35.7,19.4,9.4,1.0,116.970,97.5,0.0,0.0,0.0,9.1,24.2,54.5,12.1,78.346,89.226,
